datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss,entry
2026-02-03 09:20:00,ZYDUSLIFE,ZYDUSLIFE26FEBFUT,15237378,KBDT,buy,901.45,900,908.25,867.7,True
2026-02-03 09:20:00,ASHOKLEY,ASHOKLEY26FEBFUT,15157506,KBDT,buy,197.0,5000,198.74,184.8,True
2026-02-03 09:20:00,PIIND,PIIND26FEBFUT,15218946,KBDT,buy,3224.2,175,3250.8,2977.0,True
2026-02-03 09:20:00,NIFTYNXT50,NIFTYNXT5026FEBFUT,15151874,KBDT,buy,68617.0,25,68997.0,65615.2,True
2026-02-03 09:20:00,CIPLA,CIPLA26FEBFUT,15177986,KBDT,buy,1341.3,375,1344.7,1296.4,True
2026-02-03 09:20:00,MIDCPNIFTY,MIDCPNIFTY26FEBFUT,15150338,KBDT,buy,13478.0,120,13753.0,12900.0,True
2026-02-03 09:20:00,LUPIN,LUPIN26FEBFUT,15209986,KBDT,buy,2169.9,425,2177.6,2077.9,True
2026-02-03 09:20:00,INFY,INFY26FEBFUT,15200002,KBDT,buy,1698.1,400,1699.8,1620.6,True
2026-02-03 09:20:00,ETERNAL,ETERNAL26FEBFUT,15183618,KBDT,buy,277.85,2425,287.05,267.3,True
2026-02-03 09:20:00,FINNIFTY,FINNIFTY26FEBFUT,15149058,KBDT,buy,27639.3,60,27809.2,26601.5,True
2026-02-03 09:20:00,TORNTPHARM,TORNTPHARM26FEBFUT,15230466,KBDT,buy,4012.2,250,4032.8,3875.7,True
2026-02-03 09:20:00,INDHOTEL,INDHOTEL26FEBFUT,15195906,KBDT,buy,678.0,1000,686.7,647.8,True
2026-02-03 09:25:00,360ONE,360ONE26FEBFUT,15152130,KBDT,buy,1157.9,500,1158.7,1071.2,True
2026-02-03 09:25:00,DMART,DMART26FEBFUT,15182850,KBDT,buy,3740.0,150,3743.1,3606.8,True
2026-02-03 09:30:00,BANKNIFTY,BANKNIFTY26FEBFUT,15148802,KBDT,buy,60260.6,30,60311.2,58151.0,True
2026-02-03 10:40:00,BAJAJHLDNG,BAJAJHLDNG26FEBFUT,13265154,KBDT,buy,10915.0,50,10936.0,10409.0,True
2026-02-03 11:05:00,IDFCFIRSTB,IDFCFIRSTB26FEBFUT,15195394,KBDT,buy,84.69,9275,84.81,79.68,True
2026-02-03 11:45:00,DRREDDY,DRREDDY26FEBFUT,15183106,KBDT,buy,1238.7,625,1239.7,1172.2,True
2026-02-03 11:45:00,COFORGE,COFORGE26FEBFUT,15178498,KBDT,buy,1740.0,375,1741.7,1638.3,True
2026-02-03 12:00:00,HINDUNILVR,HINDUNILVR26FEBFUT,15193602,KBDT,buy,2390.0,300,2390.2,2306.9,True
2026-02-03 12:35:00,TATATECH,TATATECH26FEBFUT,15228418,KBDT,buy,666.0,800,667.6,635.75,True
